dataset,experimento,learning_rate,batch_size,epochs,weight_decay,val_accuracy,val_f1,val_precision,val_recall,test_accuracy,test_f1,test_precision,test_recall
goemotions,configuracion_1_base,2e-05,16,2,0.01,0.41,0.07056185678876972,0.06795399698340875,0.08414122533748702,0.3566666666666667,0.060775623268698065,0.061289005294581506,0.0754830917874396
goemotions,configuracion_2_lr_alto,5e-05,16,2,0.01,0.4166666666666667,0.08340892116942321,0.08467294610151754,0.11632903130099391,0.42,0.09816686316156469,0.15884104873129778,0.12261722275309232
goemotions,configuracion_3_batch_pequeno_mas_epochs,2e-05,8,3,0.01,0.43333333333333335,0.11005197978320456,0.11597655677655677,0.1402075359738911,0.4766666666666667,0.16450597619041574,0.18410522063231424,0.18087073202562332
imdb,configuracion_1_base,2e-05,16,2,0.01,0.8625,0.8623546120589873,0.8623590589764745,0.8636591730228824,0.8475,0.8469941243235447,0.8497060975302102,0.8466886754701881
imdb,configuracion_2_lr_alto,5e-05,16,2,0.01,0.8525,0.8524252903032159,0.853029431622115,0.8542252107587314,0.8525,0.8522330960297037,0.8533428736411338,0.8519907963185274
imdb,configuracion_3_batch_pequeno_mas_epochs,2e-05,8,3,0.01,0.85,0.849966242404541,0.8555801996168968,0.8539743075070253,0.8525,0.8512270615453474,0.8606692195009122,0.8509903961584634
